"","P21","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","op_name"
"3663","HORWITZ DEFENSE","TRUE",81,"RESIGN","WHITE","STANDARD","d4","e6","d4_Bf4_e3_c3_Bxd6","e6_Qf6_Bb4+_Bd6_cxd6",1.00517464424321,"DEFENSE","HORWITZ DEFENSE"
"3664","KING'S PAWN GAME","TRUE",56,"MATE","BLACK","BLITZ","e4","e5","e4_Qf3_Bc4_g4_Nh3","e5_Nc6_Nf6_h6_Bc5",0.971813725490196,"NO_DEFENSE","KING'S PAWN GAME"
"3665","RETI OPENING","TRUE",42,"RESIGN","BLACK","BLITZ","Nf3","d5","Nf3_e3_d4_c4_Nc3","d5_c5_Nf6_e6_cxd4",0.956778889899909,"NO_DEFENSE","RETI OPENING"
"3666","HORWITZ DEFENSE","TRUE",35,"RESIGN","WHITE","BLITZ","d4","e6","d4_Nf3_c3_Bf4_e3","e6_Nf6_Be7_O-O_b6",1.00690289921767,"DEFENSE","HORWITZ DEFENSE"
"3667","GROB OPENING","TRUE",132,"OUTOFTIME","BLACK","BLITZ","g4","d5","g4_Bg2_c4_cxd5_Qb3","d5_Bxg4_c6_cxd5_Qc7",0.947706422018349,"NO_DEFENSE","OTHER"
"3668","INDIAN GAME","TRUE",42,"DRAW","DRAW","BLITZ","d4","Nf6","d4_Nf3_c3_Bf4_e3","Nf6_c5_b6_d6_Bb7",0.997255260750229,"NO_DEFENSE","INDIAN GAME"
"3669","QUEEN'S PAWN GAME","TRUE",178,"MATE","BLACK","BLITZ","d4","d5","d4_Nf3_Bf4_e3_c3","d5_Nf6_c5_Nc6_Qb6",0.980304386750224,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3670","DOERY DEFENSE","TRUE",130,"MATE","BLACK","BLITZ","d4","Nf6","d4_Nf3_Bf4_e3_Bd3","Nf6_Ne4_f5_d6_g6",1.01288541187299,"DEFENSE","OTHER"
"3671","BENKO GAMBIT ACCEPTED ","TRUE",91,"MATE","WHITE","BLITZ","d4","Nf6","d4_c4_d5_cxb5_bxa6","Nf6_c5_b5_a6_Bxa6",0.949887133182844,"NO_DEFENSE","OTHER"
"3672","QUEEN'S PAWN GAME","TRUE",56,"OUTOFTIME","BLACK","STANDARD","d4","d5","d4_Nf3_Bf4_e3_Nbd2","d5_Nf6_e6_c5_Nc6",1.00315457413249,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3673","QUEEN'S PAWN GAME","TRUE",61,"MATE","WHITE","BLITZ","d4","Nf6","d4_Nf3_Bg5_Nbd2_e3","Nf6_g6_Bg7_d5_O-O",1.04297224709042,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3674","SICILIAN DEFENSE","TRUE",67,"MATE","WHITE","BLITZ","e4","c5","e4_Nf3_d4_Nxd4_Nc3","c5_d6_cxd4_Nf6_g6",0.949418084153984,"DEFENSE","SICILIAN DEFENSE"
"3675","QUEEN'S PAWN GAME","TRUE",79,"RESIGN","WHITE","BLITZ","d4","Nf6","d4_Nf3_Bf4_e3_Nbd2","Nf6_d5_c6_Nbd7_g6",1.13568868407578,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3676","SICILIAN DEFENSE","TRUE",190,"MATE","BLACK","BLITZ","e4","c5","e4_Nf3_c3_d4_Bc4","c5_d6_Nd7_b6_Bb7",0.973743775464011,"DEFENSE","SICILIAN DEFENSE"
"3677","QUEEN'S PAWN GAME","TRUE",116,"RESIGN","BLACK","BLITZ","d4","d5","d4_Nf3_Bf4_c4_Qb3","d5_Nf6_Bf5_c6_Nbd7",1.00543232231779,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3678","SICILIAN DEFENSE","TRUE",79,"MATE","WHITE","BLITZ","e4","c5","e4_Nf3_d4_Nxd4_Nc3","c5_d6_cxd4_Nf6_g6",0.982974910394265,"DEFENSE","SICILIAN DEFENSE"
"3679","HORWITZ DEFENSE","TRUE",35,"MATE","WHITE","BLITZ","d4","e6","d4_Nf3_Bf4_e3_c3","e6_d5_Nf6_c5_Nc6",0.9995499549955,"DEFENSE","HORWITZ DEFENSE"
"3680","PIRC DEFENSE","TRUE",59,"RESIGN","WHITE","BLITZ","d4","Nf6","d4_Nf3_Nc3_e4_Bc4","Nf6_g6_Bg7_d6_Nbd7",1.33853541416567,"DEFENSE","PIRC DEFENSE"
"3681","INDIAN GAME","TRUE",83,"MATE","WHITE","BLITZ","d4","Nf6","d4_Nf3_dxc5_g3_Bg2","Nf6_c5_e6_Bxc5_O-O",1.02062780269058,"NO_DEFENSE","INDIAN GAME"
"3682","QUEEN'S PAWN GAME","TRUE",74,"MATE","BLACK","BLITZ","d4","Nf6","d4_Nf3_Bf4_e3_Bg5","Nf6_d5_Nc6_Nh5_h6",1.01317582916856,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3683","QUEEN'S PAWN GAME","TRUE",65,"RESIGN","WHITE","BLITZ","d4","d5","d4_Nf3_Bf4_c4_Qb3","d5_Nf6_Bf5_e6_b6",1.12594840667678,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3684","HORWITZ DEFENSE","TRUE",67,"OUTOFTIME","WHITE","BLITZ","d4","e6","d4_Nf3_Nc3_Bf4_e3","e6_f5_Nf6_a6_d5",1.03984997655884,"DEFENSE","HORWITZ DEFENSE"
"3685","SICILIAN DEFENSE","TRUE",114,"MATE","BLACK","BLITZ","e4","c5","e4_Nf3_c3_d4_Bd3","c5_d6_Nd7_b6_Bb7",1.0081558676937,"DEFENSE","SICILIAN DEFENSE"
"3686","QUEEN'S PAWN GAME","TRUE",51,"RESIGN","WHITE","BLITZ","d4","d5","d4_Nf3_Bf4_e3_c4","d5_Nf6_Bf5_e6_c6",1.04119318181818,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3687","QUEEN'S PAWN GAME","TRUE",100,"DRAW","DRAW","BLITZ","d4","d5","d4_Nf3_Bf4_c4_Nc3","d5_Nf6_Bf5_e6_c6",1.00917852225792,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3688","BENONI DEFENSE","TRUE",76,"OUTOFTIME","BLACK","BLITZ","d4","Nf6","d4_c4_dxc5_Nf3_Nc3","Nf6_c5_Nc6_e6_Bxc5",0.995431703974417,"DEFENSE","BENONI DEFENSE"
"3689","RUY LOPEZ","TRUE",132,"MATE","BLACK","BLITZ","e4","e5","e4_Nf3_Bb5_Bxc6_Nxe5","e5_Nc6_h6_dxc6_f6",0.981699346405229,"NO_DEFENSE","RUY LOPEZ"
"3690","QUEEN'S PAWN GAME","TRUE",29,"RESIGN","BLACK","BLITZ","d4","d5","d4_Nc3_Nf3_Bg5_Bxf6","d5_Nf6_c6_Nbd7_Nxf6",0.914438502673797,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3691","FRENCH DEFENSE","TRUE",115,"OUTOFTIME","WHITE","BLITZ","e4","e6","e4_Nf3_d3_Bg5_Bxf6","e6_Nf6_d5_h6_Qxf6",1.03549060542797,"DEFENSE","FRENCH DEFENSE"
"3692","PHILIDOR DEFENSE","TRUE",109,"MATE","WHITE","BLITZ","e4","e5","e4_Nf3_d4_h3_gxf3","e5_d6_Bg4_Bxf3_Nf6",0.980653769179453,"DEFENSE","PHILIDOR DEFENSE"
"3693","PHILIDOR DEFENSE","TRUE",86,"MATE","BLACK","BLITZ","e4","e5","e4_Nf3_d4_dxe5_Bxc4","e5_d6_c5_c4_Bg4",1.09320809248555,"DEFENSE","PHILIDOR DEFENSE"
"3694","KING'S GAMBIT ACCEPTED ","TRUE",57,"MATE","WHITE","BLITZ","e4","e5","e4_f4_Nf3_Nc3_d3","e5_exf4_Nf6_Bb4_Bxc3+",0.994090610636901,"DEFENSE","KING'S GAMBIT ACCEPTED "
"3695","RUY LOPEZ","TRUE",64,"MATE","BLACK","BLITZ","e4","e5","e4_Nf3_Bb5_d4_Bxc6","e5_Nc6_Nge7_a6_bxc6",1.00392670157068,"DEFENSE","RUY LOPEZ"
"3696","SICILIAN DEFENSE","TRUE",89,"RESIGN","WHITE","BLITZ","e4","c5","e4_Bc4_Nf3_Nc3_O-O","c5_d6_Nf6_a6_e6",0.990247074122237,"DEFENSE","SICILIAN DEFENSE"
"3697","PHILIDOR DEFENSE","TRUE",122,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_Bb5+_Bc4_d3","e5_d6_Bd7_h6_Nf6",1.02581072137657,"DEFENSE","PHILIDOR DEFENSE"
"3698","PIRC DEFENSE","TRUE",20,"OUTOFTIME","BLACK","STANDARD","e4","d6","e4_d4_Bb5+_Ba4_f3","d6_Nf6_c6_Bg4_Bh5",0.665024630541872,"DEFENSE","PIRC DEFENSE"
"3699","QUEEN'S PAWN GAME","TRUE",33,"MATE","WHITE","STANDARD","d4","d5","d4_e3_Nf3_dxe5_Bb5+","d5_e6_e5_h5_c6",1.45487364620939,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3700","QUEEN'S PAWN GAME","TRUE",38,"MATE","BLACK","STANDARD","d4","d5","d4_Bg5_Bf4_e3_Bb5+","d5_h6_Nf6_Bf5_c6",0.597235932872656,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3701","KING'S GAMBIT DECLINED ","TRUE",137,"MATE","WHITE","STANDARD","e4","e5","e4_f4_fxe5_Nf3_Bc4","e5_Nf6_Nxe4_f6_fxe5",1.2831715210356,"DEFENSE","OTHER"
"3702","HORWITZ DEFENSE","TRUE",44,"RESIGN","BLACK","BULLET","d4","e6","d4_Nf3_Bg5_Bh4_Bg3","e6_b6_f6_h5_Bb7",0.691460055096419,"DEFENSE","HORWITZ DEFENSE"
"3703","QUEEN'S PAWN GAME","TRUE",81,"RESIGN","WHITE","BULLET","d4","d5","d4_Nf3_Nc3_exf3_Be2","d5_Bg4_Bxf3_Nf6_Nc6",0.732298136645963,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3704","FOUR KNIGHTS GAME","TRUE",22,"MATE","BLACK","STANDARD","e4","e5","e4_Nf3_Nc3_Be2_O-O","e5_Nc6_Nf6_d5_dxe4",0.692307692307692,"NO_DEFENSE","FOUR KNIGHTS GAME"
"3705","KING'S PAWN GAME","TRUE",11,"MATE","WHITE","BLITZ","e4","e5","e4_Qh5_Qxe5+_Bc4_Qxd5","e5_Bb4_Kf8_d5_Be6",1.41399176954733,"NO_DEFENSE","KING'S PAWN GAME"
"3706","KING'S PAWN GAME","TRUE",17,"MATE","WHITE","STANDARD","e4","e5","e4_Qh5_Qxe5+_Bc4_Qg3","e5_Nf6_Be7_d6_O-O",1.41353996737357,"NO_DEFENSE","KING'S PAWN GAME"
"3707","KING'S KNIGHT OPENING","TRUE",35,"MATE","WHITE","BLITZ","e4","e5","e4_Nf3_Nxe5_Nd3_Nxb4","e5_Bb4_Nf6_O-O_Nxe4",1.16313725490196,"NO_DEFENSE","KING'S KNIGHT OPENING"
"3708","SCANDINAVIAN DEFENSE","TRUE",43,"MATE","WHITE","STANDARD","e4","d5","e4_exd5_Nc3_Ne4_f3","d5_Qxd5_Qd6_Qe5_f5",0.963636363636364,"DEFENSE","SCANDINAVIAN DEFENSE"
"3709","SCOTCH GAME","TRUE",14,"RESIGN","BLACK","STANDARD","e4","e5","e4_Nf3_d4_Nxd4_Nc3","e5_Nc6_exd4_Qh4_Bb4",0.855644663787785,"DEFENSE","SCOTCH GAME"
"3710","FRENCH DEFENSE","TRUE",12,"RESIGN","BLACK","STANDARD","e4","e6","e4_d4_Nf3_Qe2_Nc3","e6_Qh4_Qxe4+_Nf6_Bb4",1.11189358372457,"DEFENSE","FRENCH DEFENSE"
"3711","PHILIDOR DEFENSE","TRUE",143,"RESIGN","WHITE","STANDARD","e4","e5","e4_Nf3_d4_Be2_dxe5","e5_d6_Bg4_Nd7_Nxe5",0.960635359116022,"DEFENSE","PHILIDOR DEFENSE"
"3712","RUY LOPEZ","TRUE",52,"MATE","BLACK","STANDARD","e4","e5","e4_Nf3_Bb5_Nxd4_e5","e5_Nc6_Nd4_exd4_Qe7",1.07663964627856,"NO_DEFENSE","RUY LOPEZ"
"3713","SCOTCH GAME","TRUE",13,"MATE","WHITE","STANDARD","e4","e5","e4_Nf3_d4_Nxd4_Bc4","e5_Nc6_exd4_b6_Bb7",0.868924889543446,"NO_DEFENSE","SCOTCH GAME"
"3714","RUSSIAN GAME","TRUE",30,"RESIGN","BLACK","STANDARD","e4","e5","e4_Nf3_Nc3_d4_Nxd4","e5_Nf6_Bc5_exd4_O-O",1.02650957290133,"NO_DEFENSE","RUSSIAN GAME"
"3715","THREE KNIGHTS OPENING","TRUE",61,"RESIGN","WHITE","STANDARD","e4","e5","e4_Nf3_Nc3_Bc4_O-O","e5_Nc6_d6_Bg4_Nge7",1.16335227272727,"NO_DEFENSE","THREE KNIGHTS OPENING"
"3716","SCANDINAVIAN DEFENSE","TRUE",52,"MATE","BLACK","STANDARD","e4","d5","e4_exd5_Nc3_Nge2_d4","d5_Qxd5_Qe5+_Nf6_Qf5",0.963831212324179,"DEFENSE","SCANDINAVIAN DEFENSE"
"3717","AMAZON ATTACK","TRUE",15,"RESIGN","WHITE","STANDARD","d4","d5","d4_Qd3_Nc3_dxc5_Bf4","d5_Nf6_c5_e6_Bxc5",1.00338294993234,"NO_DEFENSE","OTHER"
"3718","SICILIAN DEFENSE","TRUE",44,"RESIGN","WHITE","BLITZ","e4","c5","e4_Bc4_Nc3_Nf3_Qe2","c5_Nf6_b6_Bb7_d5",0.915243516761543,"DEFENSE","SICILIAN DEFENSE"
"3719","SCOTCH GAME","TRUE",47,"MATE","WHITE","BLITZ","e4","e5","e4_Nf3_d4_Nxd4_Qxd4","e5_Nc6_exd4_Nxd4_b6",0.893261776982707,"NO_DEFENSE","SCOTCH GAME"
"3720","PIRC DEFENSE","TRUE",34,"RESIGN","BLACK","BLITZ","e4","d6","e4_d4_Nf3_Be2_O-O","d6_c6_Bg4_Nd7_Ngf6",0.991740787801779,"DEFENSE","PIRC DEFENSE"
"3721","QUEEN'S PAWN GAME","TRUE",42,"MATE","BLACK","BLITZ","d4","d5","d4_e3_Bd3_Qe2_dxe5","d5_Nf6_Nc6_e5_Nxe5",0.99535500995355,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3722","PHILIDOR DEFENSE","TRUE",86,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_Nc3_d4_Nxd4","e5_d6_c6_exd4_Be7",1.07978723404255,"DEFENSE","PHILIDOR DEFENSE"
"3723","SICILIAN DEFENSE","FALSE",33,"MATE","WHITE","BLITZ","e4","c5","e4_Bc4_d3_Nc3_Bxf7+","c5_Nf6_Nc6_b6_Kxf7",0.958445040214477,"DEFENSE","SICILIAN DEFENSE"
"3724","SICILIAN DEFENSE","TRUE",74,"RESIGN","BLACK","BLITZ","e4","c5","e4_b3_Bb2_Nf3_d3","c5_Nc6_b6_Bb7_d5",1.20094562647754,"DEFENSE","SICILIAN DEFENSE"
"3725","CARO-KANN DEFENSE","TRUE",23,"RESIGN","BLACK","BLITZ","e4","c6","e4_Nf3_d4_Bd2_Nc3","c6_e6_Qa5+_Qd8_Qb6",1.07066381156317,"DEFENSE","CARO-KANN DEFENSE"
"3726","ENGLISH DEFENSE","FALSE",87,"RESIGN","WHITE","STANDARD","d4","b6","d4_a4_c3_a5_Bg5","b6_c5_Nf6_b5_h6",0.994694960212202,"DEFENSE","ENGLISH DEFENSE"
"3727","BLUMENFELD COUNTERGAMBIT","FALSE",32,"MATE","BLACK","STANDARD","d4","e6","d4_c4_Nf3_dxc5_e3","e6_Nf6_c5_Bxc5_Nc6",1.00533333333333,"NO_DEFENSE","OTHER"
"3728","QUEEN'S PAWN","FALSE",16,"RESIGN","BLACK","BLITZ","d4","a6","d4_e4_Nc3_Bd3_e5","a6_b5_Bb7_Nf6_Bxg2",0.748015873015873,"NO_DEFENSE","QUEEN'S PAWN"
"3729","KING'S PAWN GAME","FALSE",59,"RESIGN","WHITE","STANDARD","e4","e5","e4_Nf3_d3_c3_d4","e5_f6_Nc6_d6_Bg4",1.00533333333333,"DEFENSE","KING'S PAWN GAME"
"3730","FRENCH DEFENSE","FALSE",24,"RESIGN","BLACK","STANDARD","d4","e6","d4_e4_e5_dxc5_Bb5+","e6_d5_c5_Bxc5_Bd7",0.873190503763752,"DEFENSE","FRENCH DEFENSE"
"3731","BISHOP'S OPENING","FALSE",67,"MATE","WHITE","STANDARD","e4","e5","e4_Bc4_d3_h3_a3","e5_Nf6_d6_c6_d5",0.994694960212202,"DEFENSE","BISHOP'S OPENING"
"3732","HORWITZ DEFENSE","FALSE",93,"OUTOFTIME","WHITE","BLITZ","d4","e6","d4_Nc3_Nf3_Qd3_e4","e6_d5_b5_a6_Bb4",1.07483962936565,"DEFENSE","HORWITZ DEFENSE"
"3733","AMAZON ATTACK","FALSE",104,"MATE","BLACK","BLITZ","d4","d5","d4_Qd3_e4_Qa3_d5","d5_Nf6_dxe4_Nc6_Nxd5",0.94876660341556,"NO_DEFENSE","OTHER"
"3734","ALEKHINE DEFENSE","TRUE",102,"MATE","BLACK","STANDARD","e4","Nf6","e4_Qf3_Bc4_d3_exd5","Nf6_d6_Be6_d5_Bxd5",0.825333333333333,"DEFENSE","ALEKHINE DEFENSE"
"3735","ENGLISH OPENING","FALSE",10,"MATE","BLACK","BLITZ","c4","e5","c4_Nc3_Na4_h3_b3","e5_Bc5_d6_Qf6_Qxf2#",0.886001181334908,"NO_DEFENSE","ENGLISH OPENING"
"3736","QUEEN'S PAWN GAME","FALSE",37,"MATE","WHITE","BLITZ","d4","d5","d4_Bf4_e3_c3_Bxh6","d5_f6_Nh6_Bf5_gxh6",1.12866666666667,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3737","KING'S PAWN GAME","FALSE",20,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_Nxe5_Nf3_Bc4","e5_Bc5_f6_Ne7_Kf8",1.08133333333333,"NO_DEFENSE","KING'S PAWN GAME"
"3738","BARNES DEFENSE","TRUE",13,"MATE","WHITE","STANDARD","e4","f6","e4_Bc4_Bxg8_Qh5+_Qxh7","f6_c6_Rxg8_g6_Bg7",0.876795162509448,"DEFENSE","OTHER"
"3739","CLEMENZ OPENING","TRUE",6,"MATE","BLACK","STANDARD","h3","e5","h3_f3_g3__","e5_Qh4+_Qxg3#__",0.892947103274559,"NO_DEFENSE","OTHER"
"3740","BARNES DEFENSE","TRUE",43,"MATE","WHITE","BLITZ","e4","f6","e4_f4_Nf3_c3_d4","f6_e6_d6_c6_b6",1.28666666666667,"DEFENSE","OTHER"
"3741","SICILIAN DEFENSE","FALSE",2,"OUTOFTIME","BLACK","BLITZ","e4","c5","e4____","c5____",1.11526282457251,"DEFENSE","SICILIAN DEFENSE"
"3742","SCANDINAVIAN DEFENSE","TRUE",79,"RESIGN","WHITE","STANDARD","e4","d5","e4_exd5_Nc3_d4_Nf3","d5_Qxd5_Qa5_c6_Nf6",0.941716135995683,"DEFENSE","SCANDINAVIAN DEFENSE"
"3743","SICILIAN DEFENSE","TRUE",98,"MATE","BLACK","STANDARD","e4","c5","e4_Nf3_d4_Nxd4_Bd3","c5_d6_cxd4_Nf6_g6",1.00980957876515,"DEFENSE","SICILIAN DEFENSE"
"3744","SICILIAN DEFENSE","FALSE",31,"RESIGN","WHITE","STANDARD","e4","c5","e4_c4_Nf3_Nc3_d4","c5_d6_Nf6_Nc6_cxd4",1.06711822660099,"DEFENSE","SICILIAN DEFENSE"
"3745","QUEEN'S GAMBIT DECLINED","TRUE",101,"RESIGN","WHITE","STANDARD","d4","d5","d4_c4_Nc3_e4_dxc5","d5_e6_dxc4_c5_Qxd1+",1.21428571428571,"NO_DEFENSE","QUEEN'S GAMBIT DECLINED"
"3746","NIMZO-INDIAN DEFENSE","TRUE",24,"RESIGN","WHITE","BLITZ","d4","Nf6","d4_c4_Nc3_Qc2_Nf3","Nf6_e6_Bb4_b6_Bb7",1.05949656750572,"DEFENSE","NIMZO-INDIAN DEFENSE"
"3747","RUSSIAN GAME","TRUE",60,"MATE","BLACK","BLITZ","e4","e5","e4_Nf3_Nxe5_Nf3_d4","e5_Nf6_d6_Nxe4_d5",1.17266666666667,"NO_DEFENSE","RUSSIAN GAME"
"3748","ITALIAN GAME","TRUE",51,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_Bc4_c3_d4","e5_Nc6_Bc5_d6_exd4",1.01923076923077,"NO_DEFENSE","ITALIAN GAME"
"3749","ITALIAN GAME","TRUE",112,"MATE","BLACK","STANDARD","e4","e5","e4_Nf3_Bc4_c3_d4","e5_Nc6_Bc5_Nf6_exd4",1.06140878988561,"NO_DEFENSE","ITALIAN GAME"
"3750","SICILIAN DEFENSE","TRUE",77,"MATE","WHITE","BLITZ","e4","c5","e4_Qf3_c3_Qe3_f4","c5_Nc6_Ne5_e6_Ng4",1.06411764705882,"DEFENSE","SICILIAN DEFENSE"
"3751","QUEEN'S GAMBIT ACCEPTED","TRUE",42,"RESIGN","BLACK","BLITZ","d4","d5","d4_c4_e3_Bxc4_Nf3","d5_dxc4_b6_Bb7_e6",1.06820877817319,"NO_DEFENSE","QUEEN'S GAMBIT ACCEPTED"
"3752","RUY LOPEZ","TRUE",65,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_Bb5_Bxc6_d4","e5_Nc6_a6_bxc6_exd4",0.998832457676591,"NO_DEFENSE","RUY LOPEZ"
"3753","FRENCH DEFENSE","TRUE",137,"DRAW","DRAW","STANDARD","e4","e6","e4_d4_exd5_Nf3_Nc3","e6_d5_exd5_Bd6_c6",0.977727013135351,"DEFENSE","FRENCH DEFENSE"
"3754","QUEEN'S GAMBIT ACCEPTED","TRUE",52,"MATE","BLACK","STANDARD","d4","d5","d4_c4_e3_Bxc4_Nc3","d5_dxc4_b6_Bb7_Bxg2",1.03097603740503,"NO_DEFENSE","QUEEN'S GAMBIT ACCEPTED"
"3755","RUY LOPEZ","TRUE",85,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_Nf3_Bb5_h3_Nc3","e5_Nc6_d6_Bd7_a6",0.99541547277937,"DEFENSE","RUY LOPEZ"
"3756","SICILIAN DEFENSE","TRUE",35,"RESIGN","WHITE","BLITZ","Nf3","c5","Nf3_e4_Bb5_Bxc6_Nc3","c5_Nc6_Qc7_Qxc6_g6",0.991990846681922,"DEFENSE","SICILIAN DEFENSE"
"3757","BISHOP'S OPENING","TRUE",80,"OUTOFTIME","BLACK","BLITZ","e4","e5","e4_Bc4_d3_h3_c3","e5_Nf6_Bc5_O-O_d6",0.983188405797101,"DEFENSE","BISHOP'S OPENING"
"3758","QUEEN'S PAWN GAME","TRUE",105,"RESIGN","WHITE","BLITZ","Nf3","d5","Nf3_d4_Bg5_Bxf6_Nbd2","d5_Nf6_Bg4_exf6_c5",0.967231638418079,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3759","ENGLISH OPENING","TRUE",90,"RESIGN","BLACK","BLITZ","e4","e5","e4_c4_Nc3_Nge2_h3","e5_Nf6_Bb4_d6_Be6",1.01940035273369,"NO_DEFENSE","ENGLISH OPENING"
"3760","BIRD OPENING","TRUE",149,"OUTOFTIME","WHITE","BLITZ","f4","d5","f4_d4_Nf3_e3_c3","d5_e6_c5_Nf6_Nc6",1.05090696313634,"NO_DEFENSE","BIRD OPENING"
"3761","ITALIAN GAME","TRUE",96,"OUTOFTIME","BLACK","STANDARD","e4","e5","e4_Nf3_Bc4_c3_b4","e5_Nc6_Bc5_h6_Bb6",1.01355332940483,"NO_DEFENSE","ITALIAN GAME"
"3762","QUEEN'S PAWN GAME","TRUE",38,"RESIGN","BLACK","BLITZ","Nf3","d5","Nf3_d4_Bf4_e3_c4","d5_e6_c5_Bd7_Nf6",0.920086393088553,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3763","QUEEN'S PAWN GAME","TRUE",84,"OUTOFTIME","BLACK","BLITZ","Nf3","d5","Nf3_d4_Bf4_e3_Bb5","d5_Nc6_e6_Nf6_Bd7",1.0825456836799,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3764","KING'S GAMBIT ACCEPTED ","TRUE",41,"RESIGN","WHITE","BLITZ","e4","e5","e4_f4_Nf3_d4_Bxf4","e5_exf4_Bc5_Bb6_Nf6",1.03011001737116,"NO_DEFENSE","KING'S GAMBIT ACCEPTED "
"3765","SICILIAN DEFENSE","TRUE",62,"OUTOFTIME","BLACK","BLITZ","Nf3","c5","Nf3_e4_Bb5_Bxc6_d3","c5_Nc6_g6_bxc6_Bg7",0.978591549295775,"DEFENSE","SICILIAN DEFENSE"
"3766","RUY LOPEZ","TRUE",53,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_Nf3_Bb5_Bxc6+_h3","e5_Nc6_d6_bxc6_Nf6",1.08256880733945,"DEFENSE","RUY LOPEZ"
"3767","GIUOCO PIANO","TRUE",27,"MATE","WHITE","BLITZ","e4","e5","e4_Nf3_Bc4_O-O_c3","e5_Nc6_Bc5_h6_Nf6",1.05167518455423,"NO_DEFENSE","GIUOCO PIANO"
"3768","SICILIAN DEFENSE","TRUE",78,"RESIGN","BLACK","BLITZ","Nf3","c5","Nf3_e4_Bb5_Bxc6_Nxe5","c5_Nc6_e5_dxc6_Bd6",1.00112994350282,"DEFENSE","SICILIAN DEFENSE"
"3769","KING'S GAMBIT ACCEPTED ","TRUE",47,"RESIGN","WHITE","BLITZ","e4","e5","e4_f4_Nf3_Bc4_d4","e5_exf4_Nc6_Bc5_Bb4+",1.00953984287318,"DEFENSE","KING'S GAMBIT ACCEPTED "
"3770","RUSSIAN GAME","TRUE",33,"RESIGN","WHITE","BLITZ","e4","e5","e4_Bc4_Nf3_Nxe5_Qf3","e5_Nf6_Nxe4_d5_Ng5",1.015625,"NO_DEFENSE","RUSSIAN GAME"
"3771","GIUOCO PIANO","TRUE",103,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_Bc4_O-O_Nc3","e5_Nc6_Bc5_d6_Bb4",0.960664819944598,"NO_DEFENSE","GIUOCO PIANO"
"3772","RUY LOPEZ","TRUE",46,"OUTOFTIME","BLACK","BLITZ","e4","e5","e4_Nf3_Bb5_d4_O-O","e5_Nc6_d6_Bd7_exd4",0.943795214245965,"DEFENSE","RUY LOPEZ"
"3773","QUEEN'S PAWN GAME","TRUE",79,"RESIGN","BLACK","BULLET","d4","d5","d4_e3_c4_Bxc4_Nc3","d5_Nc6_dxc4_e6_Bb4",0.947456679709335,"NO_DEFENSE","QUEEN'S PAWN GAME"
"3774","WADE DEFENSE","TRUE",73,"MATE","WHITE","BLITZ","Nf3","d6","Nf3_d4_e3_Be2_c4","d6_Bg4_Nf6_e6_Be7",1.03368176538908,"DEFENSE","OTHER"
"3775","DANISH GAMBIT ACCEPTED ","FALSE",37,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Bb4+",1.0752808988764,"DEFENSE","OTHER"
"3776","SCANDINAVIAN DEFENSE","FALSE",23,"RESIGN","WHITE","BLITZ","e4","d5","e4_exd5_Nc3_Nxd5_Nf3","d5_Nf6_Nxd5_Qxd5_Bg4",0.908443540183113,"DEFENSE","SCANDINAVIAN DEFENSE"
"3777","SARAGOSSA OPENING","TRUE",41,"RESIGN","WHITE","BLITZ","c3","e5","c3_d3_Qa4+_Qb3_Nd2","e5_d5_Bd7_Bc6_b6",1.04208194905869,"NO_DEFENSE","OTHER"
"3778","ZUKERTORT OPENING","TRUE",29,"RESIGN","WHITE","BLITZ","Nf3","c6","Nf3_e4_d4_Nc3_Bf4","c6_h6_d6_Nd7_g5",0.944151738672287,"NO_DEFENSE","ZUKERTORT OPENING"
