X,P21,rated,turns,victory_status,winner,pace_type,W1,B1,W_First5,B_First5,Rating_WB,opening_strategy,op_name,rating_bins,ID_unit,Prob,Stratum
3248,ENGLISH DEFENSE,FALSE,18,RESIGN,WHITE,BLITZ,d4,b6,d4_c4_f3_Bg5_Nc3,b6_Bb7_Nf6_e6_Bb4,1.113571429,DEFENSE,ENGLISH DEFENSE,Equal,3097,0.75,1
3249,ZUKERTORT OPENING,FALSE,64,RESIGN,BLACK,STANDARD,Nf3,c5,Nf3_b3_Bb2_e3_Bb5,c5_d6_Nc6_Nf6_e6,0.856269113,NO_DEFENSE,ZUKERTORT OPENING,Equal,3098,0.75,1
3250,NIMZOWITSCH-LARSEN ATTACK,FALSE,9,RESIGN,WHITE,STANDARD,Nf3,d5,Nf3_b3_Nxe5_Nf3_Bb2,d5_e5_Bd6_Nf6_,1.013758146,NO_DEFENSE,OTHER,Equal,3099,0.75,1
3252,OWEN DEFENSE,FALSE,59,RESIGN,WHITE,BLITZ,e4,b6,e4_Bd3_Nc3_Nf3_O-O,b6_Bb7_Nf6_e6_Bb4,0.941428571,DEFENSE,OWEN DEFENSE,Equal,3101,0.75,1
3253,ZUKERTORT OPENING,FALSE,85,MATE,WHITE,STANDARD,Nf3,g6,Nf3_b3_Bb2_e3_d4,g6_Nf6_Bg7_O-O_d6,1.020408163,NO_DEFENSE,ZUKERTORT OPENING,Equal,3102,0.75,1
3254,NIMZOWITSCH-LARSEN ATTACK,FALSE,30,RESIGN,BLACK,STANDARD,Nf3,d5,Nf3_b3_Bb2_e3_Bb5,d5_Nc6_f6_e5_Bd6,1.009372747,NO_DEFENSE,OTHER,Equal,3103,0.75,1
3255,OWEN DEFENSE,FALSE,15,MATE,WHITE,STANDARD,e4,b6,e4_Nf3_Qe2_d4_Nc3,b6_Bb7_Nf6_Bxe4_Bb7,0.979285714,DEFENSE,OWEN DEFENSE,Equal,3104,0.75,1
3256,NIMZOWITSCH-LARSEN ATTACK,FALSE,66,RESIGN,BLACK,STANDARD,Nf3,d5,Nf3_b3_Bb2_a3_Nxe5,d5_Nc6_Bf5_e5_Nxe5,1.037805782,NO_DEFENSE,OTHER,Equal,3105,0.75,1
3257,OWEN DEFENSE,FALSE,38,MATE,BLACK,STANDARD,e4,b6,e4_d4_d5_Nc3_Nf3,b6_Bb7_Nf6_e6_exd5,1.196428571,DEFENSE,OWEN DEFENSE,Equal,3106,0.75,1
3258,OWEN DEFENSE,FALSE,18,RESIGN,BLACK,BLITZ,e4,b6,e4_d4_d5_Nc3_dxe6,b6_Bb7_Nf6_e6_fxe6,1.082142857,DEFENSE,OWEN DEFENSE,Equal,3107,0.75,1
3259,ZUKERTORT OPENING,FALSE,81,MATE,WHITE,STANDARD,Nf3,e6,Nf3_b3_d3_Bxg5_Bh4,e6_g5_d5_f6_Nc6,1.051051051,NO_DEFENSE,ZUKERTORT OPENING,Equal,3108,0.75,1
3260,OWEN DEFENSE,FALSE,58,MATE,BLACK,BLITZ,e4,b6,e4_f4_d3_Be3_Nd2,b6_Bb7_Nf6_e6_g6,0.975714286,DEFENSE,OWEN DEFENSE,Equal,3109,0.75,1
3261,OWEN DEFENSE,FALSE,31,RESIGN,BLACK,BLITZ,e4,b6,e4_Nf3_Nc3_e5_Nxd5,b6_Bb7_Nf6_Nd5_Bxd5,1.135,DEFENSE,OWEN DEFENSE,Equal,3110,0.75,1
3262,NIMZOWITSCH-LARSEN ATTACK,FALSE,49,RESIGN,WHITE,BLITZ,Nf3,d5,Nf3_b3_Bb2_e3_Bb5+,d5_Bf5_h6_Qd6_c6,0.954979536,NO_DEFENSE,OTHER,Equal,3111,0.75,1
3263,ZUKERTORT OPENING,FALSE,44,RESIGN,BLACK,BLITZ,Nf3,e6,Nf3_b3_Bb2_e3_c4,e6_d5_Nh6_f6_e5,0.974251914,NO_DEFENSE,ZUKERTORT OPENING,Equal,3112,0.75,1
3264,VAN'T KRUIJS OPENING,FALSE,65,RESIGN,WHITE,STANDARD,e3,b6,e3_g3_Nf3_Bg2_O-O,b6_Bb7_Nf6_e6_d5,1.118571429,NO_DEFENSE,VAN'T KRUIJS OPENING,Equal,3113,0.75,1
3266,ZUKERTORT OPENING,FALSE,28,RESIGN,BLACK,STANDARD,Nf3,d6,Nf3_b3_Bb2_e3_d3,d6_Bg4_c5_Bh5_Nc6,1.003584229,NO_DEFENSE,ZUKERTORT OPENING,Equal,3115,0.75,1
3269,ZUKERTORT OPENING,FALSE,105,MATE,WHITE,STANDARD,Nf3,e6,Nf3_b3_Bb2_e3_d4,e6_Nc6_Nf6_Be7_d5,0.991501416,NO_DEFENSE,ZUKERTORT OPENING,Equal,3118,0.75,1
3270,VAN GEET OPENING,FALSE,40,MATE,BLACK,STANDARD,Nc3,b6,Nc3_b4_Ba3_Qb1_Nf3,b6_Bb7_e6_Nf6_Be7,1.03,NO_DEFENSE,OTHER,Equal,3119,0.75,1
3271,QUEEN'S PAWN GAME,FALSE,50,MATE,BLACK,BLITZ,d4,d5,d4_Nc3_Bf4_e3_Bd3,d5_Nf6_Bf5_e6_Bg6,1.019294744,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,3120,0.75,1
3272,ITALIAN GAME,TRUE,40,RESIGN,BLACK,STANDARD,e4,e5,e4_Bc4_Nf3_d3_Nbd2,e5_Bc5_Nc6_d6_Bg4,0.907601573,NO_DEFENSE,ITALIAN GAME,Equal,3121,0.75,1
3275,RUY LOPEZ,TRUE,15,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_Bxc6+_h3,e5_Nc6_d6_bxc6_Nf6,0.958468527,DEFENSE,RUY LOPEZ,Equal,3124,0.75,1
3276,SCANDINAVIAN DEFENSE,TRUE,48,RESIGN,BLACK,STANDARD,e4,d5,e4_exd5_Nc3_Qe2_d4,d5_Qxd5_Qe5+_Qf5_b6,1.095774648,DEFENSE,SCANDINAVIAN DEFENSE,Equal,3125,0.75,1
3277,FRENCH DEFENSE,TRUE,15,MATE,WHITE,STANDARD,e4,e6,e4_Nf3_Nc3_Bc4_d3,e6_Qf6_b6_Bb7_e5,1.181126332,DEFENSE,FRENCH DEFENSE,Equal,3126,0.75,1
3278,SICILIAN DEFENSE,TRUE,57,RESIGN,WHITE,BLITZ,e4,e6,e4_Nf3_Nc3_Bc4_d3,e6_c5_Nf6_Nc6_a6,1.109117014,DEFENSE,SICILIAN DEFENSE,Equal,3127,0.75,1
3280,KING'S PAWN GAME,TRUE,44,MATE,BLACK,STANDARD,e4,e5,e4_Qh5_Bc4_Qf3_h3,e5_Nc6_g6_Nf6_Bg7,0.99343832,NO_DEFENSE,KING'S PAWN GAME,Equal,3129,0.75,1
3285,GIUOCO PIANO,TRUE,138,MATE,BLACK,STANDARD,e4,e5,e4_Nf3_Bc4_O-O_d3,e5_Nc6_Bc5_d6_Bg4,0.945084746,NO_DEFENSE,GIUOCO PIANO,Equal,3134,0.75,1
3288,MIESES OPENING,TRUE,128,MATE,BLACK,STANDARD,d3,d5,d3_e4_dxe4_Kxd1_Bb5+,d5_dxe4_Qxd1+_e5_Bd7,0.847739362,NO_DEFENSE,MIESES OPENING,Equal,3137,0.75,1
3290,PHILIDOR DEFENSE,TRUE,34,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_d4_d5_Nxd4,e5_d6_Nc6_Nd4_exd4,0.98537234,DEFENSE,PHILIDOR DEFENSE,Equal,3139,0.75,1
3292,RUY LOPEZ,TRUE,28,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_Bb5_Bxc6_O-O,e5_Nc6_Bc5_dxc6_Nf6,0.983108108,NO_DEFENSE,RUY LOPEZ,Equal,3140,0.75,1
3293,HUNGARIAN OPENING,TRUE,31,RESIGN,WHITE,BLITZ,g3,e5,g3_Nf3_d3_h4_Ng5,e5_Nc6_d5_Nf6_h6,0.903743316,NO_DEFENSE,HUNGARIAN OPENING,Equal,3141,0.75,1
3294,FRENCH DEFENSE,TRUE,46,RESIGN,BLACK,BLITZ,e4,e6,e4_Nf3_exd5_d4_Nc3,e6_d5_exd5_Nf6_Bb4,1.008701473,DEFENSE,FRENCH DEFENSE,Equal,3142,0.75,1
3295,SCANDINAVIAN DEFENSE,TRUE,35,MATE,WHITE,BLITZ,e4,d5,e4_exd5_Nc3_Qe2_Nf3,d5_Qxd5_Qe5+_Qc5_Bf5,1.004701142,DEFENSE,SCANDINAVIAN DEFENSE,Equal,3143,0.75,1
3296,ITALIAN GAME,TRUE,52,RESIGN,BLACK,BLITZ,e4,e5,e4_Bc4_Nf3_Nc3_d3,e5_Bc5_d6_Nc6_Nf6,0.983176312,NO_DEFENSE,ITALIAN GAME,Equal,3144,0.75,1
3297,FRENCH DEFENSE,TRUE,23,RESIGN,WHITE,BLITZ,e4,e6,e4_Nf3_exd5_d4_Nc3,e6_d5_exd5_Nf6_c5,1.006825939,DEFENSE,FRENCH DEFENSE,Equal,3145,0.75,1
3301,QUEEN'S GAMBIT ACCEPTED,TRUE,13,OUTOFTIME,WHITE,BLITZ,d4,d5,d4_c4_Nf3_e4_a4,d5_e6_dxc4_b5_c6,1.116030534,NO_DEFENSE,QUEEN'S GAMBIT ACCEPTED,Equal,3149,0.75,1
3303,DANISH GAMBIT ACCEPTED ,TRUE,36,RESIGN,BLACK,STANDARD,e4,e5,e4_d4_c3_Bc4_Bxb2,e5_exd4_dxc3_cxb2_Bb4+,0.820337437,DEFENSE,OTHER,Equal,3151,0.75,1
3305,ITALIAN GAME,TRUE,135,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_Bc4_d3_O-O,e5_Nc6_Nf6_Be7_d6,0.978112175,DEFENSE,ITALIAN GAME,Equal,3153,0.75,1
3306,FRENCH DEFENSE,FALSE,24,RESIGN,BLACK,BLITZ,e4,e6,e4_Nf3_e5_d4_Nxd4,e6_d5_c5_cxd4_Ne7,0.827177383,DEFENSE,FRENCH DEFENSE,Equal,3154,0.75,1
3308,RUY LOPEZ,FALSE,19,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_Bxc6_O-O,e5_Nc6_a6_dxc6_Bd6,1.095404595,NO_DEFENSE,RUY LOPEZ,Equal,3156,0.75,1
3309,QUEEN'S GAMBIT REFUSED,TRUE,62,MATE,BLACK,BLITZ,d4,d5,d4_Nf3_c4_Nc3_cxd5,d5_Bf5_e6_Nc6_exd5,0.944367177,DEFENSE,QUEEN'S GAMBIT REFUSED,Equal,3157,0.75,1
3310,FRENCH DEFENSE,TRUE,51,MATE,WHITE,BLITZ,e4,e6,e4_Nf3_exd5_d4_Bd3,e6_d5_exd5_Nf6_Bd6,1.028334148,DEFENSE,FRENCH DEFENSE,Equal,3158,0.75,1
3311,GRUENFELD DEFENSE,TRUE,33,RESIGN,WHITE,BLITZ,d4,Nf6,d4_c4_Nc3_Bg5_h4,Nf6_g6_d5_Ne4_Nxg5,0.994607843,DEFENSE,GRUENFELD DEFENSE,Equal,3159,0.75,1
3312,ENGLISH OPENING,TRUE,47,RESIGN,WHITE,BLITZ,c4,e5,c4_Nc3_Nf3_g3_cxd5,e5_Nc6_Nf6_d5_Nxd5,0.890675241,NO_DEFENSE,ENGLISH OPENING,Equal,3160,0.75,1
3315,QUEEN'S GAMBIT DECLINED,FALSE,52,MATE,BLACK,BLITZ,d4,d5,d4_c4_Nc3_g3_e3,d5_e6_Nf6_c5_dxc4,1.240666667,DEFENSE,QUEEN'S GAMBIT DECLINED,Equal,3163,0.75,1
3316,RUSSIAN GAME,FALSE,127,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Nxe5_Nf3_d4,e5_Nf6_d6_Nxe4_d5,0.707881076,NO_DEFENSE,RUSSIAN GAME,Equal,3164,0.75,1
3318,VAN'T KRUIJS OPENING,FALSE,28,RESIGN,BLACK,BLITZ,e3,e5,e3_Ba6_Qe2_Nf3_Ne5,e5_Nxa6_d5_e4_Qg5,0.854,NO_DEFENSE,VAN'T KRUIJS OPENING,Equal,3166,0.75,1
3320,ITALIAN GAME,TRUE,80,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_Bc4_Ng5_exd5,e5_Nc6_Nf6_d5_Nxd5,1.004923077,DEFENSE,ITALIAN GAME,Equal,3168,0.75,1
3322,SLAV DEFENSE,TRUE,49,RESIGN,WHITE,STANDARD,d4,d5,d4_c4_Nc3_Bg5_e3,d5_c6_Nf6_Bf5_h6,1,DEFENSE,SLAV DEFENSE,Equal,3170,0.75,1
3323,QUEEN'S PAWN GAME,TRUE,60,MATE,BLACK,BLITZ,d4,d5,d4_Bf4_e3_c4_Nc3,d5_Bf5_e6_Bb4+_Bxc3+,0.9489093,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,3171,0.75,1
3324,SCOTCH GAME,TRUE,45,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_d4_Nxd4_Nxc6,e5_Nc6_exd4_Bc5_bxc6,1.001803969,NO_DEFENSE,SCOTCH GAME,Equal,3172,0.75,1
3325,SICILIAN DEFENSE,TRUE,112,RESIGN,BLACK,BLITZ,e4,c5,e4_Bc4_Nc3_a3_h3,c5_Nc6_d6_Nf6_g6,1.016343826,DEFENSE,SICILIAN DEFENSE,Equal,3173,0.75,1
3326,QUEEN'S PAWN GAME,TRUE,171,RESIGN,WHITE,BLITZ,d4,d5,d4_Bf4_e3_Bd3_Nd2,d5_Nc6_Nf6_a6_e6,0.998782715,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,3174,0.75,1
3327,QUEEN'S PAWN GAME,TRUE,65,MATE,WHITE,STANDARD,d4,d5,d4_Bf4_e3_Nf3_c3,d5_Nf6_Bf5_h6_e6,0.958799294,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,3175,0.75,1
3329,RUY LOPEZ,FALSE,75,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_Ba4_d4,e5_Nc6_a6_Nf6_exd4,1.045155221,NO_DEFENSE,RUY LOPEZ,Equal,3177,0.75,1
3330,RUY LOPEZ,FALSE,114,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_Bb5_Bxc6_Nxe5,e5_Nc6_a6_bxc6_Qe7,0.973659454,NO_DEFENSE,RUY LOPEZ,Equal,3178,0.75,1
3335,ITALIAN GAME,TRUE,91,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bc4_Ng5_exd5,e5_Nc6_Nf6_d5_Na5,0.780338664,DEFENSE,ITALIAN GAME,Equal,3183,0.75,1
3336,SCOTCH GAME,FALSE,30,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_d4_Bc4_Ng5,e5_Nc6_exd4_Bc5_Nh6,0.898871119,NO_DEFENSE,SCOTCH GAME,Equal,3184,0.75,1
3338,RUY LOPEZ,FALSE,35,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_O-O_Re1,e5_Nc6_Nf6_d6_a6,1.152303523,DEFENSE,RUY LOPEZ,Equal,3186,0.75,1
3340,RUY LOPEZ,FALSE,40,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_Ba4_O-O,e5_Nc6_a6_Nf6_b5,1.038593063,DEFENSE,RUY LOPEZ,Equal,3188,0.75,1
3341,ITALIAN GAME,FALSE,48,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_Bc4_O-O_c3,e5_Nc6_Nf6_Bc5_Nxe4,0.962841016,NO_DEFENSE,ITALIAN GAME,Equal,3189,0.75,1
3343,SCOTCH GAME,TRUE,32,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_d4_Bc4_e5,e5_Nc6_exd4_Nf6_Ng4,0.786923801,NO_DEFENSE,SCOTCH GAME,Equal,3191,0.75,1
3344,QUEEN'S GAMBIT DECLINED,FALSE,29,RESIGN,BLACK,STANDARD,d4,d5,d4_c4_Bf4_e3_a3,d5_e6_Nf6_Nc6_dxc4,0.831608655,NO_DEFENSE,QUEEN'S GAMBIT DECLINED,Equal,3192,0.75,1
3345,SCOTCH GAME,TRUE,62,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_d4_Nxd4_Nxc6,e5_Nc6_exd4_Bc5_Qf6,0.967544685,NO_DEFENSE,SCOTCH GAME,Equal,3193,0.75,1
3346,TARRASCH DEFENSE,TRUE,24,OUTOFTIME,BLACK,STANDARD,d4,d5,d4_c4_Nc3_e3_Nf3,d5_e6_Nf6_c5_Nc6,1.025878906,DEFENSE,OTHER,Equal,3194,0.75,1
3347,ITALIAN GAME,TRUE,80,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_Bc4_d3_exd5,e5_Nc6_Nf6_d5_Nxd5,1.006625892,DEFENSE,ITALIAN GAME,Equal,3195,0.75,1
3348,FRENCH DEFENSE,TRUE,33,RESIGN,WHITE,STANDARD,e4,e6,e4_d4_Nc3_exd5_Nf3,e6_d5_c5_exd5_c4,0.880039331,DEFENSE,FRENCH DEFENSE,Equal,3196,0.75,1
3351,CARO-KANN DEFENSE,TRUE,9,MATE,WHITE,STANDARD,e4,c6,e4_Qh5_Bc4_Qxf7+_Qxf8#,c6_Qc7_Na6_Kd8_,1.151933702,DEFENSE,CARO-KANN DEFENSE,Equal,3199,0.75,1
3353,ZUKERTORT OPENING,TRUE,43,RESIGN,WHITE,STANDARD,Nf3,d6,Nf3_e4_d4_d5_Be3,d6_Qd7_Qe6_Qxe4+_Qb4+,1.161921708,NO_DEFENSE,ZUKERTORT OPENING,Equal,3201,0.75,1
3354,VAN'T KRUIJS OPENING,TRUE,54,MATE,BLACK,BLITZ,e3,e5,e3_Bb5_Bc4_Qe2_Qh5,e5_a6_d6_Nc6_g6,0.947916667,NO_DEFENSE,VAN'T KRUIJS OPENING,Equal,3202,0.75,1
3355,PIRC DEFENSE,TRUE,69,RESIGN,WHITE,BLITZ,e4,d6,e4_Nc3_Bb5+_Ba4_d3,d6_Be6_c6_Nd7_Nb6,0.961867704,DEFENSE,PIRC DEFENSE,Equal,3203,0.75,1
3356,MODERN DEFENSE,TRUE,83,RESIGN,WHITE,BLITZ,e4,g6,e4_Bc4_Qf3_Qb3_Bd5,g6_Nc6_Ne5_Bg7_c6,1.263878327,DEFENSE,MODERN DEFENSE,Equal,3204,0.75,1
3357,GUATEMALA DEFENSE,TRUE,51,MATE,WHITE,BLITZ,e4,b6,e4_d4_Bxa6_Nf3_Qe2,b6_Ba6_Nxa6_c6_Qc7,1.27732342,DEFENSE,OTHER,Equal,3205,0.75,1
3359,THREE KNIGHTS OPENING,FALSE,96,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_Nc3_Bc4_h3,e5_Nc6_d6_Nf6_Be7,1.087017544,NO_DEFENSE,THREE KNIGHTS OPENING,Equal,3207,0.75,1
3360,RUY LOPEZ,TRUE,60,MATE,BLACK,BLITZ,e4,e5,e4_Nf3_Bb5_O-O_Bxc6+,e5_Nc6_d6_a6_bxc6,1.0067659,DEFENSE,RUY LOPEZ,Equal,3208,0.75,1
3362,RUY LOPEZ,TRUE,98,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_Bb5_Bxc6_Nc3,e5_Nc6_Qe7_bxc6_Nf6,1.190995907,NO_DEFENSE,RUY LOPEZ,Equal,3210,0.75,1
3363,KING'S KNIGHT OPENING,TRUE,67,MATE,WHITE,BLITZ,e4,e5,e4_Nf3_a3_exd5_Nc3,e5_Nc6_d5_Qxd5_Qc5,1.175523349,NO_DEFENSE,KING'S KNIGHT OPENING,Equal,3211,0.75,1
3364,SCOTCH GAME,TRUE,23,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_d4_Nxd4_Qxd4,e5_Nc6_exd4_Nxd4_d6,1.247436774,NO_DEFENSE,SCOTCH GAME,Equal,3212,0.75,1
3365,KING'S KNIGHT OPENING,TRUE,21,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_a3_Nxe5_d4,e5_Nc6_Bc5_Nxe5_Bxd4,0.991101985,NO_DEFENSE,KING'S KNIGHT OPENING,Equal,3213,0.75,1
3366,SARAGOSSA OPENING,TRUE,61,RESIGN,WHITE,BLITZ,c3,e5,c3_Qa4_g4_g5_d3,e5_c6_Nf6_Nd5_f6,1.008444757,NO_DEFENSE,OTHER,Equal,3214,0.75,1
3367,SARAGOSSA OPENING,TRUE,92,OUTOFTIME,BLACK,BLITZ,c3,e6,c3_Qa4_g4_d3_g5,e6_g6_Bg7_c6_b5,0.896208825,NO_DEFENSE,OTHER,Equal,3215,0.75,1
3368,SARAGOSSA OPENING,TRUE,16,RESIGN,BLACK,BLITZ,c3,e5,c3_Qa4_g4_d3_Qxg4,e5_Bc5_Nh6_Nxg4_O-O,0.932605905,NO_DEFENSE,OTHER,Equal,3216,0.75,1
3370,SARAGOSSA OPENING,TRUE,79,RESIGN,WHITE,BLITZ,c3,e5,c3_Qa4_g4_g5_Kxf2,e5_Nf6_Bc5_Bxf2+_Nh5,1.053701016,NO_DEFENSE,OTHER,Equal,3218,0.75,1
3373,SARAGOSSA OPENING,TRUE,61,OUTOFTIME,WHITE,BLITZ,c3,Nf6,c3_Qa4_g4_g5_d3,Nf6_Nc6_d5_Ne4_Nc5,0.955991875,NO_DEFENSE,OTHER,Equal,3221,0.75,1
3374,PHILIDOR DEFENSE,TRUE,94,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_h3_Nc3_Bc4,e5_d6_Nf6_g6_Qe7,0.992165242,DEFENSE,PHILIDOR DEFENSE,Equal,3222,0.75,1
3376,RUY LOPEZ,TRUE,83,MATE,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_O-O_Bc4,e5_Nc6_d6_a6_h6,0.928469242,DEFENSE,RUY LOPEZ,Equal,3224,0.75,1
3377,RUY LOPEZ,TRUE,133,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_O-O_d3,e5_Nc6_d6_Bd7_a6,1.003526093,DEFENSE,RUY LOPEZ,Equal,3225,0.75,1
3378,KING'S KNIGHT OPENING,TRUE,67,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_d3_Nc3_a3,e5_Nc6_h6_Nf6_d6,0.935092725,NO_DEFENSE,KING'S KNIGHT OPENING,Equal,3226,0.75,1
3379,SARAGOSSA OPENING,TRUE,47,RESIGN,WHITE,BLITZ,c3,d6,c3_Qa4+_g4_g5_d3,d6_Nc6_Bd7_h6_Ne5,1.045351474,NO_DEFENSE,OTHER,Equal,3227,0.75,1
3380,PHILIDOR DEFENSE,TRUE,46,MATE,BLACK,BLITZ,e4,e5,e4_Nf3_d4_Bg5_dxe5,e5_d6_Qe7_Nf6_dxe5,0.979426892,DEFENSE,PHILIDOR DEFENSE,Equal,3228,0.75,1
3381,ITALIAN GAME,TRUE,64,MATE,BLACK,STANDARD,e4,e5,e4_Nf3_Bc4_c3_d4,e5_Nc6_Nf6_Nxe4_d6,1.084045584,DEFENSE,ITALIAN GAME,Equal,3229,0.75,1
3382,SICILIAN DEFENSE,TRUE,74,MATE,BLACK,STANDARD,e4,c5,e4_Nf3_d4_Nxd4_e5,c5_e6_cxd4_Nf6_Qa5+,1.057811425,DEFENSE,SICILIAN DEFENSE,Equal,3230,0.75,1
3383,RUY LOPEZ,TRUE,47,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_O-O_Ba4,e5_Nc6_Nf6_a6_Bc5,0.9227302,DEFENSE,RUY LOPEZ,Equal,3231,0.75,1
3384,VIENNA GAME,TRUE,39,MATE,WHITE,STANDARD,e4,e5,e4_Bc4_Nc3_Nf3_O-O,e5_Nf6_d6_Nc6_Nd4,1.073186528,NO_DEFENSE,VIENNA GAME,Equal,3232,0.75,1
3385,VIENNA GAME,TRUE,114,RESIGN,BLACK,STANDARD,e4,e5,e4_Bc4_Nc3_Nf3_d3,e5_Nf6_b6_Bb7_d5,1.21667761,NO_DEFENSE,VIENNA GAME,Equal,3233,0.75,1
3388,KING'S PAWN GAME,TRUE,27,RESIGN,WHITE,STANDARD,e4,e5,e4_d4_d5_Nc3_Nf3,e5_d6_c6_Nf6_cxd5,0.830480398,DEFENSE,KING'S PAWN GAME,Equal,3236,0.75,1
3389,SICILIAN DEFENSE,TRUE,61,RESIGN,WHITE,BLITZ,e4,c5,e4_Bc4_e5_Bb5+_d4,c5_e6_d5_Nc6_cxd4,1.03752606,DEFENSE,SICILIAN DEFENSE,Equal,3237,0.75,1
3390,KING'S PAWN GAME,TRUE,123,MATE,WHITE,BLITZ,e4,e5,e4_d3_exd5_a3_Nc3,e5_d5_Qxd5_Bf5_Qa5,1.124082722,NO_DEFENSE,KING'S PAWN GAME,Equal,3238,0.75,1
3391,SCANDINAVIAN DEFENSE,TRUE,99,OUTOFTIME,WHITE,BLITZ,e4,d5,e4_exd5_Nc3_d4_Nf3,d5_Qxd5_Qd8_Nf6_Nc6,1.239680426,DEFENSE,SCANDINAVIAN DEFENSE,Equal,3239,0.75,1
3392,ITALIAN GAME,TRUE,17,MATE,WHITE,BLITZ,e4,e5,e4_Nf3_Bc4_c3_d4,e5_Nc6_Nf6_Nxe4_h6,1.136778116,DEFENSE,ITALIAN GAME,Equal,3240,0.75,1
3393,RUY LOPEZ,TRUE,101,MATE,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_Bxc6_Nc3,e5_Nc6_Nf6_dxc6_Bc5,1.273698264,DEFENSE,RUY LOPEZ,Equal,3241,0.75,1
3395,ITALIAN GAME,TRUE,45,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Bc4_d4_Nxd4,e5_Nc6_h6_exd4_Nxd4,0.899271845,DEFENSE,ITALIAN GAME,Equal,3243,0.75,1
3396,FRENCH DEFENSE,TRUE,32,MATE,BLACK,BLITZ,e4,e6,e4_Nf3_Nc3_Nxd4_Bb5+,e6_d5_d4_Qxd4_c6,1.018329939,DEFENSE,FRENCH DEFENSE,Equal,3244,0.75,1
3397,RUY LOPEZ,TRUE,113,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_O-O_Nxe5,e5_Nc6_Nf6_d5_Nxe4,1.048192771,DEFENSE,RUY LOPEZ,Equal,3245,0.75,1
3398,ENGLISH OPENING,TRUE,44,MATE,BLACK,STANDARD,c4,e5,c4_g3_Bg2_Nf3_d4,e5_f5_Nf6_d6_e4,0.822527473,NO_DEFENSE,ENGLISH OPENING,Equal,3246,0.75,1
3399,ITALIAN GAME,TRUE,23,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bc4_c3_d4,e5_Nc6_h6_Nf6_d5,0.904092853,DEFENSE,ITALIAN GAME,Equal,3247,0.75,1
3400,KING'S KNIGHT OPENING,TRUE,47,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_a3_exd5_Nc3,e5_Nc6_d5_Qxd5_Qd8,1.127187079,NO_DEFENSE,KING'S KNIGHT OPENING,Equal,3248,0.75,1
3401,SARAGOSSA OPENING,TRUE,54,RESIGN,WHITE,STANDARD,c3,e5,c3_Nf3_g4_Bg2_O-O,e5_Nc6_d6_Bxg4_e4,1.009589041,NO_DEFENSE,OTHER,Equal,3249,0.75,1
3402,QUEEN'S PAWN GAME,TRUE,53,MATE,WHITE,BULLET,d4,d5,d4_Bf4_e3_Nc3_a3,d5_Nc6_e6_Bb4_Nf6,1.003362475,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,3250,0.75,1
3403,SCANDINAVIAN DEFENSE,TRUE,43,RESIGN,WHITE,BLITZ,e4,d5,e4_exd5_Nc3_g3_Bg2,d5_Qxd5_Qd8_Nf6_e5,0.98151689,DEFENSE,SCANDINAVIAN DEFENSE,Equal,3251,0.75,1
